run,lumi,evt
275001,1781,2364404453
274251,10,15289197
274421,158,306371239
274421,162,313877165
274421,164,318465395
274421,185,357909686
274421,186,360764981
274421,189,365988811
274421,225,432180467
275370,120,100246895
275370,137,129548852
275370,141,137382332
275370,84,40216222
275370,88,48399961
275370,100,70715984
275370,101,72602050
275371,94,171589042
275371,95,173174215
275371,115,217259545
275371,115,216689658
275371,123,233894977
275371,108,202176052
275371,126,239302296
275371,133,254679533
275375,588,993920489
275375,915,1577818222
275375,860,1485090789
275375,870,1502099452
275376,520,890189424
273425,503,625077010
274200,375,610756508
274200,485,783686981
274200,470,761650725
274200,494,797720563
274250,642,1232591342
274250,663,1269371038
274250,696,1327120765
274440,183,205174100
274440,222,278734364
274440,224,282977364
274999,243,420523420
274999,249,431707348
274999,251,436689243
274999,254,442039097
275001,1810,2398236216
275001,1816,2405622177
275001,1838,2430812837
275001,1904,2506298049
275001,1916,2520042973
275310,531,945925748
275310,533,949283566
275310,573,1015324066
275310,657,1152856864
275310,607,1071002273
275310,631,1111875903
275310,720,1255018106
275310,799,1379705745
275310,808,1394921002
275310,815,1405097460
275338,430,758070361
275338,440,777390244
275344,117,121728024
275344,137,149031638
275375,1432,2485814516
275376,1348,2125188408
275376,1862,2786632242
275376,61,110226097
275376,241,425181609
275376,492,845991495
275376,1213,1936953058
275376,1233,1965212900
275376,1462,2278572245
275376,1510,2343290978
275376,1460,2276101930
275376,1625,2487714444
275376,2113,3100582965
275125,72,144050599
274094,193,147061639
274199,475,882005935
274250,576,1117345252
274251,246,381321459
274251,249,385679271
274251,287,444543157
274335,490,926748172
274335,492,931264601
274335,526,996950714
274338,31,49985077
274420,245,344693751
274420,249,353231394
274421,288,549496613
274421,309,587256033
274421,323,611043885
274421,326,617620742
274422,6,10483582
274422,11,19008029
274422,12,20780266
274422,33,57858118
274422,145,251356299
274422,1914,3202250289
274422,1915,3203694738
275001,1367,1869000789
275001,1379,1884517483
275001,1450,1972379226
275001,1508,2037847224
275001,1550,2089082091
275001,1980,2592498284
275074,364,582653559
275283,117,244649348
275283,117,245944178
275284,8,15838584
275284,24,47847781
275284,24,47441310
273158,1033,1467053084
273158,947,1357682850
275310,1114,1854771471
275310,1248,2046946026
275310,1284,2098783482
275310,1296,2115375839
275310,1311,2135741156
275310,1306,2129072653
275310,1800,2777260932
275338,99,169790612
275376,560,954711469
275376,2848,3953359848
275376,834,1383405065
275376,938,1538720626
275376,945,1549531971
275376,2812,3914767668
275376,2951,4065317006
273158,429,659410967
273158,1061,1501294586
273158,1071,1514256309
273158,993,1416318194
275311,104,133270937
275311,123,157864085
273425,296,351487154
273425,207,230825184
274094,233,194764326
274199,477,885609285
274199,481,892704913
274199,526,969218712
274199,530,975906854
274199,541,993932900
274199,572,1047138084
274250,539,1051527160
274250,613,1182776088
274250,616,1187173090
274250,580,1123805726
274250,594,1149611612
274315,183,396480533
274422,1888,3161110769
274422,1953,3264667944
274440,199,235807955
274440,238,309479981
275282,117,67509109
275282,117,66962018
275283,47,98197065
275283,81,171365907
275345,21,42617828
275371,141,270715474
275371,154,299035890
275371,163,316777007
274094,182,133003389
274094,300,273669321
274094,308,283084782
274094,310,285201870
274315,351,742520860
274422,1979,3304620783
274422,2048,3412872684
275283,3,6323021
275283,11,22356542
275283,12,25667779
275283,62,131422520
275283,76,159094070
275283,76,160135641
275311,225,287652575
275311,209,267459327
275311,209,267757123
275311,235,300639037
275311,239,304966326
275311,601,745641423
275311,636,786616078
275311,658,811352094
275338,8,13396073
275338,9,15232800
275338,92,157388339
275338,97,165470306
275338,113,192439074
275338,131,223250168
275338,135,229865652
275338,161,273197587
275338,63,108405605
275338,67,115098304
275344,293,422810877
275344,243,334816317
275344,249,345483496
275344,255,356201628
275344,255,356219459
275344,259,363800565
275344,262,368901320
275344,273,388086185
275344,288,413874929
275344,320,469435877
275344,326,479210259
275345,149,309458508
275345,151,314140084
275345,156,323480914
275345,168,348336584
275375,896,1545967814
275375,850,1468612814
275375,1064,1825840031
275375,1174,2001808745
275375,901,1554257199
275375,910,1569805637
275375,910,1568556099
275375,1268,2182620540
275375,1292,2228170584
275375,1295,2233077393
275375,1299,2240021320
275375,1345,2324683085
275375,1347,2329425634
275375,1416,2456575495
275376,579,985870147
275376,586,996934310
275376,636,1075500819
275376,637,1077308960
275376,641,1084825757
275376,647,1094006971
275376,707,1187615293
275376,713,1196696166
274422,1024,1776423737
274422,1182,2033686302
274422,1182,2034155498
274422,1233,2119823804
274422,1261,2166234625
274422,1270,2179814255
274422,1303,2234984130
274422,1455,2479444733
274422,1467,2498771056
274422,1476,2513207427
275284,54,108357934
275291,143,244728174
275291,146,250946595
275293,189,316551686
275293,113,183163514
275293,114,185850858
275293,114,185145448
275293,115,187396533
275293,117,190042051
275293,118,191931105
274388,911,1659719484
274388,917,1671872284
275068,113,230607101
275124,401,628454251
275337,6,11006564
275337,44,88478008
273450,14,19847956
273502,890,1080586895
273725,936,1404834497
273725,948,1421656257
273725,1218,1784425310
273725,1252,1833523188
274161,484,825010456
274244,450,644720272
274286,39,74344166
274315,7,15207625
274315,7,14415193
274315,9,19455467
274315,13,27817536
274315,113,246328102
274315,122,264722683
274315,124,270271722
274316,19,36917331
274316,220,412230166
274316,617,1074396177
275068,662,1232571084
275068,667,1240082636
275068,667,1241247013
275068,685,1270078990
273449,91,128649592
273449,99,140250410
273449,106,151363549
273450,168,239419816
273730,1622,1711783643
274199,455,847864934
274200,606,965196681
274240,25,45831811
274250,33,64626903
274250,378,750552471
274316,674,1161949621
274316,752,1281729351
274316,868,1454106240
274422,1603,2710665539
274422,2147,3557738254
274968,890,1691108067
274968,896,1702409200
274968,925,1755037240
274968,942,1785586754
274969,517,942322606
274969,916,1630560307
274969,917,1632697060
274969,935,1660866035
274969,952,1689097366
274971,83,124636502
274971,85,127464167
274971,102,154855363
275000,100,156606432
275068,635,1185994997
274241,604,1015569823
274250,264,528145454
275073,120,217600847
275073,122,222118541
275073,147,267767571
275073,154,280200299
275074,130,211661304
275074,216,349151818
275074,241,389074577
275074,479,747636251
275074,482,753029304
275074,484,755010675
275125,375,711464699
273302,67,84955069
273302,96,121964057
273302,267,335544349
273448,87,126294887
274161,138,243973921
274161,162,284790849
