run,lumi,evt
319991,98,102664338
319991,147,183747821
319991,99,103194506
319991,144,179973238
319991,113,126996406
319991,113,126848191
319991,140,171905123
319991,152,192847312
319991,153,194979576
319991,171,225263891
320038,79,73324965
320060,32,53195068
320060,18,27619843
320060,23,37296573
320010,25,33633279
320010,40,55497870
320010,40,55344968
320010,44,62119928
320010,58,81635930
320010,71,100892781
320010,59,82939867
320010,61,86088210
320010,76,107085050
320010,81,114338716
320010,83,117648523
320010,113,168193581
320010,124,186259196
320010,132,200865148
320023,72,93332825
319913,4,4003389
319913,22,33594373
320023,71,92186127
320023,74,96291367
320023,198,294555685
320023,200,298638234
320023,202,303005040
320023,246,375314408
320023,250,381911369
320023,259,398310574
320023,281,433483402
320023,285,440625849
320024,13,20513304
320024,28,45416452
320024,36,58680268
320024,62,100256450
320024,66,107620439
320024,74,120510267
320024,74,119375450
320024,78,126779657
320024,85,137463559
320040,137,218784607
320040,137,219476478
320040,147,234726653
320040,147,234365438
320040,152,242929913
320040,154,246652148
320040,160,255933965
320040,163,260986562
320040,188,300397511
320040,191,306065718
320040,219,347923508
320040,280,439201976
320040,308,481293787
320040,323,502569152
320040,325,504966479
320040,326,505977664
320040,334,517608596
320040,358,551681911
320040,437,674607881
319347,340,449549604
319347,574,747480209
319347,663,854663416
319449,46,33001713
319449,47,35134727
319449,68,56810320
319449,77,69217546
319449,78,70217843
319579,1093,1626275652
319579,1121,1667746828
319625,151,225488363
319625,151,226072486
319625,154,229784966
319625,170,255116307
319625,178,267002341
319625,206,310314621
319625,206,309284507
319910,957,1736954947
319912,7,12810924
319912,12,24829404
319915,152,234180883
319915,154,237086644
319915,169,261438149
319915,355,544837982
319915,392,598030830
319941,201,301215792
319941,215,327855885
319941,219,335231377
319941,234,362343501
319941,235,364065298
319991,633,977947643
319991,633,978528705
319524,942,1400923787
319524,957,1424594767
319579,2976,4510377755
319579,2930,4453761044
319579,2998,4537321101
319579,3090,4647282328
319579,3051,4601245985
319579,3053,4602994785
319639,1263,1832315546
319639,1296,1883132078
319840,230,345101770
319841,17,25224338
320059,91,147672887
320061,1,1703317
320064,79,127203851
319450,177,263968011
319450,338,515528853
319450,324,493521518
319528,208,267727700
319756,94,98820458
319848,6,7132340
319908,2,2306489
319908,25,34377265
319910,912,1658215367
320006,69,115524305
319991,217,300052481
320059,32,52172388
320065,97,161037599
320065,97,161417524
320065,98,162210550
319450,100,139757576
319486,67,46101975
319486,90,79086396
319486,91,79366468
319503,304,460779767
319524,53,39096419
319524,179,213209076
319524,1211,1806496175
319524,1391,2078323819
319524,1422,2124845870
319524,1433,2141306152
319579,145,161754763
319579,148,166545537
319579,167,193526313
319579,204,245641693
319579,205,248292034
319579,450,634595083
319579,506,721585166
319579,509,725308267
319579,748,1078000832
319579,876,1286583647
319579,933,1377757523
319579,950,1404239244
319639,371,580156386
319639,416,651230611
319639,490,766156669
319639,494,772306058
319639,502,783640591
319639,618,952770520
319639,643,986716059
319678,263,388371178
319910,120,194278644
319910,131,213930956
320002,102,89623416
320038,174,231478460
320040,362,556712752
320059,61,100162968
319658,8,6739376
319658,24,33548206
319658,49,73415526
319658,71,108837387
319658,99,154192950
320006,3,4201684
320006,17,24640824
320006,28,44694352
319449,612,887783230
319449,707,1028868251
320002,114,109507189
320002,156,177465248
320002,157,177933501
320006,97,164410421
320006,87,147153504
320006,146,245777164
320006,154,259164145
320006,176,294769013
320006,176,295074916
320006,200,333948998
320006,200,333698833
320006,227,381948523
320006,232,390818875
320006,241,406883599
320006,246,415007764
320006,259,439520721
320006,262,444520463
320023,102,141937111
320023,107,150271913
320023,110,154579798
320023,154,222323516
320023,156,224644707
320023,174,253846082
320023,174,253821927
320023,186,275197118
320023,195,289719429
320023,196,292191184
320023,196,290808277
320038,129,155749404
320038,148,188402266
320038,229,318007899
320038,232,321734091
320038,233,324138991
320038,233,322981824
320038,237,329554682
320038,244,340894910
320038,269,378134011
320038,269,377114130
320038,302,431152793
320038,317,458022979
320038,400,599705709
319991,689,1072150411
319991,693,1078310896
319991,698,1086064984
319991,710,1106409645
319991,727,1134064474
319991,731,1139843236
319991,737,1148972530
319991,746,1164537258
319991,758,1183439784
319991,758,1183330743
319991,765,1193759013
319992,59,91743615
319992,78,121866198
319992,139,214857729
319992,175,267886637
319992,186,284556579
319449,546,788444414
319337,1225,1109819167
319337,1542,1489456341
320002,163,189033830
320002,168,195942146
320002,187,225731158
320002,191,233053304
319849,102,162618713
319849,104,165167708
319849,110,173486402
319849,218,360079753
319849,214,353499624
319849,216,357615836
319449,627,910029449
319449,631,915790059
319449,640,929509704
319449,641,930785443
319449,651,945881855
319450,461,698394651
319450,526,791791377
319450,559,839269635
319456,245,365980167
319456,246,368472846
319459,1,482333
319459,22,35537184
319459,29,47516134
319459,30,48810403
319459,32,52313812
319524,682,980728707
319524,758,1103405674
319524,790,1157907228
319524,858,1268011843
319524,859,1269136286
319579,996,1477388727
319579,1676,2596887953
319579,2817,4311718702
319579,2156,3386173277
319579,2747,4223452081
319756,106,119680642
319756,1468,2344614514
319756,1618,2563154524
319910,18,29114733
319910,55,89550870
319910,531,943332209
319337,1151,1017681907
319337,1152,1018479220
319337,1161,1029523904
320038,507,771819195
319337,2123,2133924439
319337,2130,2141531146
319337,2135,2147477868
319347,231,298630219
319347,404,527588022
319347,440,571151882
319349,22,25439785
319991,255,358351937
320038,170,223671138
320038,177,235106845
320038,450,678549788
320038,521,797270166
320038,533,819499503
320040,26,40696823
319456,334,518224178
319526,226,407968581
319579,3037,4584637383
319639,1092,1557717122
319639,1138,1633133939
319659,81,121644994
319687,86,79199115
319756,1918,3036700716
319993,786,1235719769
319993,932,1444706345
320059,5,8396898
320059,29,47186512
320024,148,247814082
320024,160,269373132
320024,161,270106302
320024,168,283129221
320024,168,282311985
320024,251,421669795
320025,88,140980131
320026,3,3079632
320026,12,17891053
320026,31,46029128
320026,93,139501958
320038,87,86553092
320038,110,124141311
320038,459,692789358
319993,736,1156894579
320002,69,58275055
320002,75,64659204
320038,598,931751719
320040,92,147333992
320040,93,148389016
320062,2,1895501
320065,70,116548865
320065,114,188628618
320065,116,191166169
320065,170,274283819
320065,177,286417825
320065,181,291985315
320065,218,352939264
320065,239,387170671
320065,274,443893506
320065,282,457903871
320065,289,468730929
320065,827,1303202930
319347,52,46085070
319347,596,776269326
319678,83,86970786
319678,89,96863842
319678,124,152464884
319678,139,177136646
319678,143,184740887
319697,193,276344325
319697,196,282426830
319697,216,316466443
319697,218,318673692
319697,219,321627044
319697,229,337556990
319697,232,342935938
319697,429,654656442
319698,16,23943923
319698,262,385689512
319910,60,97281282
319910,85,136628444
319910,85,136728820
319910,89,142055595
319910,95,150938614
319910,96,153691807
319910,104,165158754
319910,115,184288636
319910,151,248340130
319910,151,246971000
319993,839,1316502574
319993,693,1087170800
319993,870,1363130797
319993,722,1134427210
320024,214,360309576
320024,237,399127032
320024,237,399172175
320002,81,69209411
320002,101,87909889
320002,121,120669442
320002,121,121581351
320002,121,121133852
320002,131,136026390
320002,150,166281342
320002,140,149741326
320002,141,152008718
320002,165,191182580
320002,147,161234487
319450,141,207759345
319450,212,319498615
319450,431,654245137
319450,465,704316801
319450,571,855703473
319579,836,1221863087
319579,837,1223749004
319579,861,1262027431
319639,590,912326104
319639,593,916806400
319639,697,1061502599
319639,989,1422383437
319639,1000,1434048245
319639,1005,1440142287
319756,140,174783385
319756,607,987544064
319910,41,66953098
319910,547,972665734
319910,551,979932568
319910,559,994725211
319910,571,1014269701
319910,584,1037770460
319910,589,1045663211
319992,244,365079442
319993,17,27400472
319993,46,75496082
319993,70,117116155
319993,126,208776460
319993,133,219462552
319993,134,221619201
319993,193,313794458
319993,193,315038652
319993,157,258609558
319993,214,346595443
319993,228,368342274
319993,362,577235485
319993,429,676897455
319993,445,700188178
319993,561,866004513
319337,51,14201416
319348,2,859867
320065,476,749021136
320065,477,750606026
320065,511,799271715
320065,536,833565383
320065,537,836628701
320065,518,808759865
320065,519,810931271
319450,588,879970161
319450,611,915031347
319450,615,919809175
319450,624,933624396
319450,637,953552299
319456,259,390620853
319456,264,398614510
320065,304,492582214
320065,313,505952409
320065,366,588596817
320065,368,591191983
320065,434,687362330
320065,675,1068419776
320065,691,1094414428
320065,698,1104614013
320065,715,1132405338
320065,750,1188087930
320065,755,1196590811
320065,790,1250822792
319625,22,20344590
319625,28,25937039
319625,28,25310698
319625,32,33058587
319625,33,34862915
319625,41,48353760
319625,55,71861421
319625,62,82963234
319625,102,149708421
319625,103,150152568
319625,131,194950463
319625,132,196432321
319991,562,853693195
319991,591,905152363
319991,607,933311858
319991,632,976872141
319450,274,418297942
319450,276,420117354
319450,563,845134503
319991,346,499433951
319991,355,512377132
319991,360,521668015
319579,236,292968770
319579,283,361006272
319579,283,361626923
319579,301,391282310
319579,315,416112653
319579,329,439733902
319579,353,477990799
319579,360,488525691
319337,1353,1266317070
319337,1361,1276029042
319337,1665,1629209799
319337,2006,2005610085
319347,493,634592630
319347,496,639810961
319349,55,74645416
319349,55,74489271
319349,95,134815659
319349,97,137921986
319349,100,142934330
319524,167,196185059
319657,93,148595557
319657,101,162452073
319657,105,169540902
319657,108,175187196
319657,108,174081631
319910,15,24353190
320006,306,521927735
320040,130,208528006
320040,133,212268651
320065,563,881318554
320065,568,889451189
320065,599,942380312
320065,599,942341674
319524,404,557708648
319524,409,566046283
