run,lumi,evt
316995,48,58777053
316995,78,94227967
316995,135,185988962
316995,156,221413689
316995,137,189101181
316995,145,203087195
316995,212,313514269
316995,255,383773438
315361,306,263100695
315361,330,283722194
315361,362,311076408
315361,363,311548055
315361,585,481932938
315361,599,491481999
315721,146,193513064
315721,156,207867117
315721,221,299418636
315800,49,30688746
315800,70,53635454
315800,205,245702011
315713,505,653022215
315785,24,32985115
315713,251,331431302
315713,253,334014065
315713,297,391847793
315713,315,417041443
315713,343,454649798
315713,349,462799999
315713,353,465670434
315713,569,726967287
315973,443,537628145
315973,445,539436204
315973,707,816863796
315973,707,816138868
315973,689,798566837
315973,744,852471918
315973,715,824067016
315973,717,826669729
315973,737,845473826
315973,781,888261639
316153,287,388132678
316153,298,402259890
316153,304,409748889
316153,347,462012965
316153,415,548704586
316153,478,619344109
316153,483,626450606
316153,512,673983690
316666,262,349943505
316666,293,398416994
316666,297,403909251
316666,300,409774426
316666,260,347006503
316666,387,540539419
316666,426,596744603
316666,439,614941196
316666,440,616967847
316666,520,734126624
316666,521,736397752
316666,552,779259256
316766,68,51011473
316766,70,54887235
316766,100,92021819
316766,232,286121012
316766,238,295131445
316766,223,272692935
315689,180,203422714
315689,204,234009472
315689,215,247349296
315689,216,247874295
315689,226,260881566
315689,242,281335190
315689,271,316270553
315713,44,34286263
315713,187,243901186
315713,226,297687053
315713,222,293667947
315713,358,472376366
315713,484,627447956
315713,484,627840536
316187,999,1360179643
315785,32,43596976
315785,62,82962172
315785,68,90603453
315785,91,120394261
315785,120,158082569
315785,168,216599573
315785,165,213825715
315785,183,234538284
315785,170,219016711
315973,102,99316951
315973,115,119194419
315973,119,124684340
315973,119,124771594
315973,140,155738118
315973,147,165124566
315973,147,164661484
315973,169,196494477
315973,173,202236018
316758,114,156044518
316758,116,158108913
316758,189,265502345
316758,206,288897434
316758,310,432099032
316758,334,461770778
316758,358,493071943
316758,608,838115659
315644,91,113409688
315644,148,180972558
315644,149,181591885
315644,128,157092682
316199,48,38525283
316199,335,477377018
316199,705,943165831
316199,371,525816441
316199,413,582884724
316199,368,522288621
316199,425,598834970
316199,435,611762970
316199,435,611583053
316199,773,1051976964
316199,898,1244224775
316199,901,1249270650
315705,419,287206786
315705,486,326181740
315705,532,351846023
315705,603,390391496
315705,657,418882731
315713,507,655569061
315801,282,275374373
315801,300,292037787
315801,300,291340694
315840,151,169713508
315840,225,270334184
315840,269,330386362
315420,453,339263908
315646,754,476903381
316187,1048,1421935375
316187,1091,1474731596
316201,157,195130288
316201,163,205408924
316201,182,234868986
316201,198,260210738
316380,313,210183786
316380,359,247770560
316380,369,256872060
316380,409,290777646
316380,309,207338348
316380,700,551474882
316380,1076,902363318
316701,42,48823242
316701,82,96282745
316701,88,102351810
316701,169,228431147
316701,170,229202445
316701,208,290122743
316701,212,296278173
316702,26,36050246
316702,26,36706306
316702,109,154396211
316702,149,209027580
315420,87,61034104
315420,105,75735506
315420,123,90727922
315420,524,386870486
315420,162,124295159
315689,721,781026218
315689,734,792324953
315689,742,799599978
315689,754,810190289
315689,757,812608644
315689,764,818864553
315689,806,854534165
315770,53,33911614
315770,66,52631359
315770,148,183268670
315770,289,402918074
315770,310,433220945
315785,8,10826505
315785,36,48585191
315785,75,99698369
315785,75,100718893
315785,112,147503463
316187,52,71952547
