run,lumi,evt
316201,238,321341775
316701,5,3922692
316701,43,50697028
316701,170,230108412
316701,209,292661540
316702,71,101817798
315420,38,21556078
315420,62,38744418
315420,79,54474039
315420,99,70738339
315420,45,24452975
315420,176,135359251
315420,525,387743421
315420,526,388214062
315689,750,806197772
315689,720,779437097
315689,746,802913518
315689,789,840002762
315689,792,842665812
315689,754,810414742
315689,762,817100371
315689,793,843595529
315689,783,834689800
315689,796,846431622
315689,816,863303020
315770,63,47009531
315770,185,243818441
315770,273,379646129
315770,280,389337014
315770,280,390247240
315785,75,100061125
315785,46,61759982
315785,98,130001891
315785,106,139929912
316187,641,856008168
316187,131,180921632
316187,132,181748770
316187,147,201924464
316187,168,230182153
316187,168,231289825
316187,267,357985457
316187,486,627644001
316187,549,711956704
316187,264,354959870
316187,270,361700907
316082,258,328389378
316082,263,335877781
316082,282,360808368
316082,283,362297624
316082,283,361081833
316082,283,361800689
316082,298,380624772
315801,292,284803013
316060,78,66412300
316082,218,275559853
316153,9,10979738
316187,1058,1434432325
316187,1954,2748910005
316199,681,913733315
316199,765,1040404157
316201,10,11540109
316201,15,17778501
316201,143,172752515
316380,793,639317492
316993,218,252791878
315264,111,117793120
315264,120,129257225
315264,122,131518842
315357,57,27265607
315357,60,29024447
315357,112,81947418
315357,88,57148038
315357,173,141480993
315357,190,156528401
315357,207,172715384
315713,224,295818841
315785,13,17764379
315785,13,18012592
315785,65,86555984
315785,76,101584888
315785,196,250059438
316082,208,263928359
316082,245,312126050
315512,395,338880674
315512,973,718376986
315721,429,555515858
315741,85,92439987
316569,1895,2644285978
316667,6,6880346
316667,115,171197693
316667,101,150266611
316717,21,24555257
316718,273,403892571
316758,1172,1685807570
316758,1205,1735721317
316758,1211,1744599702
316766,881,1197536547
316766,174,201520346
316877,249,378440775
316879,4,16392
316879,6,2196689
316879,16,16718820
316879,27,30964947
316879,32,37314862
316985,92,114177431
316993,152,163255608
315363,9,5464113
315363,9,5918091
315489,197,117238844
315510,11,12318068
315543,59,23531600
315702,44,18330612
315703,59,65103732
315703,62,69300104
316217,252,320327706
316218,72,109042472
316241,65,101045987
316241,123,194452322
316271,87,87644359
316722,629,903991465
316876,537,742125656
315512,213,193348779
315512,229,206698506
315512,295,260947468
315512,299,263554456
315512,305,268909429
315512,374,322447697
315764,43,19952114
315764,43,20699326
315764,72,59932241
315764,80,73801166
315764,83,78634582
315764,164,210349721
315764,167,215039153
315764,180,236371684
315764,215,291746862
315764,227,309209090
316569,620,820740154
316569,284,350599291
316569,363,438127612
316569,364,438709739
316569,381,463678091
316569,382,465074532
316569,416,519009981
316569,429,537841978
316569,431,541719673
316569,745,1007366496
316758,21,28774114
316758,37,45363182
316758,323,449542488
316758,353,486249641
316758,383,524371877
315510,82,91627927
315510,77,86261947
315510,105,118528831
315510,105,118479271
315510,100,112656202
315510,104,116709256
315510,121,136599647
315510,226,250821215
315510,136,152943590
315512,630,506919823
315512,773,598367806
315512,849,645114701
315512,884,665930163
315840,466,574655822
316766,212,256790810
316766,212,255589311
316766,234,289558309
316766,239,295893782
316766,268,338069227
316766,268,337875486
316766,345,444395337
316766,392,505633194
316766,418,539241032
316766,427,551233699
315357,130,99284139
315357,196,162519633
315357,338,280579325
315357,342,283970651
315357,467,386234302
315357,474,391592978
315357,483,399211450
316110,3,4131071
316110,41,58208625
316110,53,74977512
316110,21,28611615
316110,40,55927581
316766,219,266951832
316766,229,281898236
316766,267,336548099
316766,321,412201523
316766,334,429601687
316766,346,445993310
316876,80,87568848
316876,98,114049479
316876,202,280397015
316876,112,136072738
316876,166,225239141
316876,167,226482018
315361,92,61175405
315512,12,10993162
315512,90,84221911
315644,26,32245777
315644,28,35572022
315644,43,53958029
315644,60,74835668
315644,73,91096708
315645,506,479251622
315741,78,81260366
315741,79,82082864
315741,79,83482432
315974,11,9062132
315974,28,28051486
315974,41,46662238
316113,9,8194941
316113,14,13821867
316113,40,43905018
316113,45,50101312
316113,20,21284009
316153,45,65190111
316153,60,87475366
316153,79,114876859
316361,98,51817975
316569,1349,1851266428
316590,363,502528222
316717,116,138014188
316876,528,731240174
316876,553,761085380
315713,42,30889031
315713,59,56266454
315713,128,158274486
315713,157,201131004
315713,682,854779775
315713,754,931448465
315713,772,949952540
315713,776,954183833
315713,841,1018991371
315713,893,1069599502
316457,85,113431112
316457,90,120868100
316457,221,277506108
316457,254,311056479
316457,241,298281765
315361,148,119310367
315361,418,357231778
315543,127,104157892
315543,131,108892214
315721,332,442160319
315721,391,512015947
315721,495,628640236
315721,523,659444328
316199,168,227685938
316199,170,231051935
316199,171,231940427
316199,178,243994349
316199,184,252477211
316199,189,260698018
316199,67,64683905
316199,398,562780362
316199,1126,1561973712
316216,343,456515617
316219,99,155051387
316666,481,677612466
316666,766,1092129007
316718,269,397387116
316758,1142,1638079661
316758,1430,2067571930
316985,250,343895262
316985,322,440788397
316995,283,427061053
316995,320,482203114
316995,320,482673617
316995,358,540156343
316995,460,695341075
316995,471,712487589
315339,226,150322009
315339,512,339658095
315361,44,17385772
315361,234,199751330
315361,265,227161994
315361,380,326251097
315361,577,476445983
315361,579,477663811
315506,96,116847156
315322,1133,689949304
315322,1242,738735995
315363,53,35660615
315784,148,190456826
315790,184,134260561
315790,675,433663797
316114,375,390452506
316114,444,454238516
316666,443,619935195
316666,406,567715338
316766,1448,2014715122
316879,72,91552620
315322,158,118701194
315702,93,72704905
316569,1166,1581436051
316569,1475,2026008346
316569,1765,2444246526
316717,2,1643572
316720,165,228580845
316720,155,213763029
316722,321,430910931
316722,361,483847125
316758,1353,1959571358
316758,1469,2122013266
316876,483,674975344
316876,584,797654947
316877,377,566775194
316993,192,218234379
316995,227,338096917
316995,427,644862984
316995,453,685498263
316110,180,247671423
316110,181,249030016
315420,422,317702515
315488,168,153530740
315506,56,65321246
315644,102,126065394
315644,103,127382572
315646,68,50983290
315646,96,71399934
315689,671,735578978
315840,264,324611686
316153,735,998262882
316186,40,17771403
316202,296,440534792
315721,545,682738521
316569,1898,2647941924
316613,208,119184694
316615,272,162923164
316666,667,952002862
316667,186,273833508
316723,13,17250029
316766,1565,2177413228
315322,398,289727843
315322,429,310020997
315322,322,239622841
315322,619,423713189
315770,278,386742878
315790,842,527002473
315973,509,610004730
315973,476,574554518
316110,58,82335986
316110,59,83368343
316505,308,367468548
316505,390,466930165
316505,427,510020539
316505,448,533977065
316202,12,15660540
316240,168,241328752
316361,216,109092532
316457,711,826189042
316470,195,258947930
316766,142,155859855
316766,191,225074712
316876,270,382248398
316876,282,400044454
316985,135,179689637
316985,41,46537298
316985,45,52303430
315703,459,467566754
315703,496,500606362
315703,500,503461910
315703,482,488198936
315703,520,520270026
315840,837,952998837
315840,951,1053643710
315840,1058,1142142921
315840,1106,1180871627
315840,1098,1174368377
316199,98,114876864
316199,123,155828702
316199,137,179663633
316199,152,202136502
316199,161,217209610
316199,163,220337444
